scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu
strong,dc,solver_only,ngspice_optimized_independent,32,32,101,1000,3,4.229348913999274,92.81,379312.0,236.4430129398805,21.94427603095031
strong,dc,solver_only,ngspice_optimized_independent,64,64,5,1000,3,4.06996672891546,105.88,758576.0,245.70225424581636,26.014954679547035
strong,dc,solver_only,ngspice_optimized_independent,64,64,101,1000,3,3.9197758010122925,106.3,758576.0,255.11663185984958,27.118897966702008
strong,dc,solver_only,ngspice_optimized_independent,128,128,5,1000,3,4.741175109986216,123.19,1517104.0,210.91817467229288,25.983009937879757
strong,dc,solver_only,ngspice_optimized_independent,128,128,101,1000,3,4.785108393058181,124.33,1517104.0,208.98168188848408,25.982692509195225
strong,dc,solver_only,ngspice_optimized_independent,192,192,5,1000,3,4.759455700055696,107.7,2275616.0,210.10805920271468,22.62863797613237
strong,dc,solver_only,ngspice_optimized_independent,192,192,101,1000,3,4.85906159109436,111.3,2275616.0,205.80105463836682,22.90565738125023
strong,dc,solver_only,ngspice_optimized_independent,256,256,5,1000,3,4.548371298005804,101.8,3034100.0,219.85891970570688,22.38163802604096
strong,dc,solver_only,ngspice_optimized_independent,256,256,101,1000,3,4.520944390213117,99.94,3034080.0,221.19272295513903,22.106000732136597
strong,dc,solver_only,ngspice_optimized_reuse,1,1,5,1000,3,85.96337787609082,85.88000000000001,16704.0,11.63286069844089,0.9990300767821038
strong,dc,solver_only,ngspice_optimized_reuse,1,1,101,1000,3,225.5560159101151,225.47,16700.0,4.433488488280905,0.9996186494526957
strong,dc,solver_only,ngspice_optimized_reuse,2,2,5,1000,3,43.059153181966394,85.74,28772.0,23.223865917056866,1.9912142637284556
strong,dc,solver_only,ngspice_optimized_reuse,2,2,101,1000,3,112.53407800500281,224.32,28772.0,8.886197121155993,1.9933517382177124
strong,dc,solver_only,ngspice_optimized_reuse,4,4,5,1000,3,21.961974614998326,85.98,52900.0,45.53324632827312,3.914948519304923
strong,dc,solver_only,ngspice_optimized_reuse,4,4,101,1000,3,56.794264673953876,225.51999999999998,52896.0,17.60741169448761,3.9708234853408455
strong,dc,solver_only,ngspice_optimized_reuse,8,8,5,1000,3,11.776820352999493,90.79,101140.0,84.91256298609542,7.709211593507604
strong,dc,solver_only,ngspice_optimized_reuse,8,8,101,1000,3,31.211574950022623,246.98,101140.0,32.03939569218295,7.913089948055344
strong,dc,solver_only,ngspice_optimized_reuse,16,16,5,1000,3,6.472697856021114,97.35,197680.0,154.49508415872796,15.040096442852166
strong,dc,solver_only,ngspice_optimized_reuse,16,16,101,1000,3,15.968112136935815,248.7,197688.0,62.62481071177485,15.574790424018405
strong,dc,solver_only,ngspice_optimized_reuse,32,32,5,1000,3,3.808699376997538,105.64,390744.0,262.5568208505647,27.736502554653658
strong,dc,solver_only,ngspice_optimized_reuse,32,32,101,1000,3,8.913520022062585,261.1,390736.0,112.1891236598805,29.292580187594798
strong,dc,solver_only,ngspice_optimized_reuse,64,64,5,1000,3,2.9509935390669852,147.67,780420.0,338.8689221990536,50.04077374113424
strong,dc,solver_only,ngspice_optimized_reuse,64,64,101,1000,3,5.511360862990841,307.35,780480.0,181.44339027318412,55.76662600046314
strong,dc,solver_only,ngspice_optimized_reuse,128,128,5,1000,3,3.5843966820975766,294.0,1560880.0,278.9869784766131,82.02217167212424
strong,dc,solver_only,ngspice_optimized_reuse,128,128,101,1000,3,4.865882956888527,449.99,1560928.0,205.51254702588383,92.47859103617746
strong,dc,solver_only,ngspice_optimized_reuse,192,192,5,1000,3,4.405501663917676,455.76,2341312.0,226.9889053022695,103.45246348056234
strong,dc,solver_only,ngspice_optimized_reuse,192,192,101,1000,3,5.690079074120149,673.33,2341408.0,175.7444821018817,118.33403213366
strong,dc,solver_only,ngspice_optimized_reuse,256,256,5,1000,3,5.492010100977495,817.89,3121752.0,182.08269497210412,148.92361539073423
strong,dc,solver_only,ngspice_optimized_reuse,256,256,101,1000,3,6.700667252065614,1103.43,3121888.0,149.23886866516617,164.6746448512043
strong,tran,end_to_end,hspice_alter,1,1,4,20,1,21.009991271886975,20.88,44044.0,0.9519280489545742,0.9938128831085754
strong,tran,end_to_end,hspice_alter,8,8,4,20,1,4.214846858056262,28.52,352604.0,4.74513088459477,6.7665566414321425
strong,tran,end_to_end,hspice_alter,32,20,4,20,1,2.2849753238260746,42.29,869260.0,8.752829753325747,18.507858513407292
strong,tran,end_to_end,hspice_independent,1,1,4,20,1,38.72973324707709,38.29,42668.0,0.5163991156977408,0.9886461070033247
strong,tran,end_to_end,hspice_independent,8,8,4,20,1,6.04547280119732,39.35,345424.0,3.3082606865816935,6.509002900849482
strong,tran,end_to_end,hspice_independent,32,20,4,20,1,2.4048073270823807,42.23,855104.0,8.31667459374589,17.560658404694447
strong,tran,end_to_end,ngspice_official_independent,1,1,4,20,1,300.6530009279959,300.24,9416.0,0.06652187052272214,0.9986263202871047
strong,tran,end_to_end,ngspice_official_independent,8,8,4,20,1,48.44705714704469,317.56,75324.0,0.41282177242049506,6.55478410249262
strong,tran,end_to_end,ngspice_official_independent,32,20,4,20,1,17.612710492918268,332.27000000000004,188288.0,1.1355435614547582,18.865352958228627
strong,tran,end_to_end,ngspice_optimized_independent,1,1,4,20,1,300.1556036709808,299.78,9424.0,0.06663210599900458,0.9987486368190795
strong,tran,end_to_end,ngspice_optimized_independent,8,8,4,20,1,48.210678916890174,316.43,75384.0,0.41484584845771966,6.563483591373811
strong,tran,end_to_end,ngspice_optimized_independent,32,20,4,20,1,17.702539160847664,331.08,188444.0,1.1297814295608837,18.70240178495087
weak,dc,end_to_end,hspice_alter,1,1,21,1000,1,280.7764720369596,280.33,51760.0,3.561551980282616,0.9984098666326257
weak,dc,end_to_end,hspice_alter,2,2,21,2000,1,284.0467205699533,564.1800000000001,103808.0,7.041095197251017,1.9862225441925396
weak,dc,end_to_end,hspice_alter,4,4,21,4000,1,287.49737616605125,1134.5500000000002,207804.0,13.913170455126869,3.946296884966048
weak,dc,end_to_end,hspice_alter,8,8,21,8000,1,301.2781565489713,2388.43,414728.0,26.55353475219382,7.927657376022785
weak,dc,end_to_end,hspice_alter,16,16,21,16000,1,311.3896170500666,4942.03,830792.0,51.38257386863175,15.870888845999636
weak,dc,end_to_end,hspice_alter,32,32,21,32000,1,589.2441548199859,10030.25,1659608.0,54.30686030271442,17.022230798478166
weak,dc,end_to_end,hspice_alter,64,64,21,64000,1,320.82513811881654,20019.670000000002,3320616.0,199.4856150464675,62.40056535902053
weak,dc,end_to_end,hspice_independent,1,1,21,1000,1,530.384773908183,512.51,43800.0,1.8854236569263092,0.9662984784113027
weak,dc,end_to_end,hspice_independent,2,2,21,2000,1,534.6987819490023,1027.81,87600.0,3.7404237068016233,1.922222445043888
weak,dc,end_to_end,hspice_independent,4,4,21,4000,1,543.9797815820202,2081.4,167040.0,7.353214467580148,3.8262451482053303
weak,dc,end_to_end,hspice_independent,8,8,21,8000,1,586.2840640379582,4485.78,337828.0,13.64526257954378,7.6512057467582375
weak,dc,end_to_end,hspice_independent,16,16,21,16000,1,602.3515444390941,9196.54,690712.0,26.56256159332852,15.267728762219344
weak,dc,end_to_end,hspice_independent,32,32,21,32000,1,610.9711015128996,18454.37,1404600.0,52.3756359683149,30.204980160768482
weak,dc,end_to_end,hspice_independent,64,64,21,64000,1,737.0779475572053,38814.87,2867804.0,86.8293512404031,52.66046844657165
