scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu,parallel_efficiency
weak,dc,end_to_end,hspice_alter,1,1,21,1000,1,280.7764720369596,280.33,51760.0,3.561551980282616,0.9984098666326257,1.0
weak,dc,end_to_end,hspice_alter,2,2,21,2000,1,284.0467205699533,564.1800000000001,103808.0,7.041095197251017,1.9862225441925396,0.9884869343802603
weak,dc,end_to_end,hspice_alter,4,4,21,4000,1,287.49737616605125,1134.5500000000002,207804.0,13.913170455126869,3.946296884966048,0.9766227288098454
weak,dc,end_to_end,hspice_alter,8,8,21,8000,1,301.2781565489713,2388.43,414728.0,26.55353475219382,7.927657376022785,0.9319509759789728
weak,dc,end_to_end,hspice_alter,16,16,21,16000,1,311.3896170500666,4942.03,830792.0,51.38257386863175,15.870888845999636,0.9016886134383059
weak,dc,end_to_end,hspice_alter,32,32,21,32000,1,589.2441548199859,10030.25,1659608.0,54.30686030271442,17.022230798478166,0.4765027701000052
weak,dc,end_to_end,hspice_alter,64,64,21,64000,1,320.82513811881654,20019.670000000002,3320616.0,199.4856150464675,62.40056535902053,0.8751698002323464
weak,dc,end_to_end,hspice_independent,1,1,21,1000,1,530.384773908183,512.51,43800.0,1.8854236569263092,0.9662984784113027,1.0
weak,dc,end_to_end,hspice_independent,2,2,21,2000,1,534.6987819490023,1027.81,87600.0,3.7404237068016233,1.922222445043888,0.9919318910263932
weak,dc,end_to_end,hspice_independent,4,4,21,4000,1,543.9797815820202,2081.4,167040.0,7.353214467580148,3.8262451482053303,0.9750082482214693
weak,dc,end_to_end,hspice_independent,8,8,21,8000,1,586.2840640379582,4485.78,337828.0,13.64526257954378,7.6512057467582375,0.9046549385211397
weak,dc,end_to_end,hspice_independent,16,16,21,16000,1,602.3515444390941,9196.54,690712.0,26.56256159332852,15.267728762219344,0.8805236390687332
weak,dc,end_to_end,hspice_independent,32,32,21,32000,1,610.9711015128996,18454.37,1404600.0,52.3756359683149,30.204980160768482,0.8681012450422498
weak,dc,end_to_end,hspice_independent,64,64,21,64000,1,737.0779475572053,38814.87,2867804.0,86.8293512404031,52.66046844657165,0.7195775910349281
weak,dc,end_to_end,ngspice_official_independent,1,1,21,1000,1,95.17076929914765,82.09,11864.0,10.507427935742829,0.8625547592451288,1.0
weak,dc,end_to_end,ngspice_official_independent,2,2,21,2000,1,97.83984985295683,165.53,23728.0,20.441568573600563,1.6918464229940506,0.9727199034154229
weak,dc,end_to_end,ngspice_official_independent,4,4,21,4000,1,102.73086702404544,338.61,47456.0,38.93669075199911,3.2960882138836047,0.9264087032076908
weak,dc,end_to_end,ngspice_official_independent,8,8,21,8000,1,113.04511938802898,731.16,94912.0,70.76820338027939,6.467859947940635,0.8418830447024663
weak,dc,end_to_end,ngspice_official_independent,16,16,21,16000,1,116.70620951708406,1476.05,189824.0,137.0963898682515,12.647570391564539,0.8154730557435854
weak,dc,end_to_end,ngspice_official_independent,32,32,21,32000,1,245.64376940694638,3049.6,379648.0,130.26994365563215,12.414725630381744,0.3874340860707228
weak,dc,end_to_end,ngspice_official_independent,64,64,21,64000,1,249.1256957410369,6645.03,759296.0,256.8984295643562,26.673402678250525,0.38201908083410435
weak,dc,end_to_end,ngspice_optimized_independent,1,1,21,1000,1,97.33349072211422,82.21000000000001,11876.0,10.273955989670466,0.844621921910809,1.0
weak,dc,end_to_end,ngspice_optimized_independent,2,2,21,2000,1,97.87317175301723,165.59,23752.0,20.434609037162872,1.6918834552319002,0.9944859145643619
weak,dc,end_to_end,ngspice_optimized_independent,4,4,21,4000,1,102.8247128680814,336.58,47504.0,38.90115409446157,3.2733376112784685,0.9465962802832025
weak,dc,end_to_end,ngspice_optimized_independent,8,8,21,8000,1,112.27859355206601,735.57,95008.0,71.25133782772427,6.551293320742394,0.8668926786741282
weak,dc,end_to_end,ngspice_optimized_independent,16,16,21,16000,1,116.18079230515286,1476.39,190016.0,137.71639599405938,12.707694367604335,0.8377760969856741
weak,dc,end_to_end,ngspice_optimized_independent,32,32,21,32000,1,229.19084355980158,3051.34,380032.0,139.62163366989137,13.31353361507145,0.4246831557942125
weak,dc,end_to_end,ngspice_optimized_independent,64,64,21,64000,1,251.19646660797298,6657.45,760064.0,254.78065382138078,26.502960371611742,0.38747953757652437
weak,dc,end_to_end,ngspice_optimized_reuse,1,1,21,1000,1,111.3816102789715,110.97999999999999,17764.0,8.978142778645003,0.9963942855740224,1.0
weak,dc,end_to_end,ngspice_optimized_reuse,2,2,21,2000,1,112.01887627411634,222.74,35528.0,17.85413375426022,1.988414876211961,0.9943110838428212
weak,dc,end_to_end,ngspice_optimized_reuse,4,4,21,4000,1,113.11044770595618,449.29,71048.0,35.36366517086439,3.972135281154415,0.9847154930243138
weak,dc,end_to_end,ngspice_optimized_reuse,8,8,21,8000,1,119.87038527382538,949.6700000000001,142096.0,66.73875270964747,7.922473910721365,0.9291837181013259
weak,dc,end_to_end,ngspice_optimized_reuse,16,16,21,16000,1,125.43463315092959,1967.46,284212.0,127.55647780902706,15.685141739384274,0.887965368742708
weak,dc,end_to_end,ngspice_optimized_reuse,32,32,21,32000,1,272.4241569021251,4213.89,568376.0,117.46388559622767,15.468121652346495,0.4088536477291476
weak,dc,end_to_end,ngspice_optimized_reuse,64,64,21,64000,1,133.33882666984573,8247.48,1136752.0,479.98022480329394,61.85355163219798,0.8353276615727128
weak,dc,solver_only,hspice_alter,1,1,21,1000,3,278.38901546411216,278.26,66636.0,3.5920957525312724,0.9995365640993518,1.0
weak,dc,solver_only,hspice_alter,2,2,21,2000,3,281.4038704209961,560.15,140880.0,7.107222786267605,1.9905554218638994,0.9892863770765713
weak,dc,solver_only,hspice_alter,4,4,21,4000,3,285.10224229097366,1128.41,266784.0,14.030054509068448,3.957913452144482,0.9764532654218482
weak,dc,solver_only,hspice_alter,8,8,21,8000,3,302.962088329019,2402.73,414448.0,26.40594420286654,7.93079428931919,0.918890601129537
weak,dc,solver_only,hspice_alter,16,16,21,16000,3,310.3529561520554,4920.79,1019168.0,51.55420524546544,15.855463601864617,0.8970077775824932
weak,dc,solver_only,hspice_alter,32,32,21,32000,3,315.1495096748695,9863.39,1658664.0,101.53910768578845,31.29749435490403,0.8833553818672222
weak,dc,solver_only,hspice_alter,64,64,21,64000,3,320.39269845513627,19958.04,3316864.0,199.75486429183326,62.292430808296565,0.8688993750682936
weak,dc,solver_only,hspice_independent,1,1,21,1000,3,528.2014741811436,511.48,56364.0,1.893216980415045,0.9683426211426873,1.0
weak,dc,solver_only,hspice_independent,2,2,21,2000,3,536.0519687840715,1030.21,112728.0,3.7309815399738326,1.9218472461482212,0.9853549747784058
weak,dc,solver_only,hspice_independent,4,4,21,4000,3,542.7379466150887,2077.59,225484.0,7.370039307085361,3.827979991001869,0.9732164066938654
weak,dc,solver_only,hspice_independent,8,8,21,8000,3,589.0814072401263,4533.31,454676.0,13.580465962217975,7.695557768897796,0.8966527676637971
weak,dc,solver_only,hspice_independent,16,16,21,16000,3,596.0828537850175,9160.42,905344.0,26.84190611825674,15.367695852737588,0.8861208988434418
weak,dc,solver_only,hspice_independent,32,32,21,32000,3,609.0118196951225,18320.68,1449472.0,52.54413619758566,30.08263453601199,0.8673090687231104
weak,dc,solver_only,hspice_independent,64,64,21,64000,3,665.1116406419314,38593.2,2718692.0,96.22444727960333,58.02514591798729,0.7941546078961282
weak,dc,solver_only,ngspice_official_independent,1,1,21,1000,3,93.66929243993945,81.57000000000001,11848.0,10.675857305543307,0.8708296804131676,1.0
weak,dc,solver_only,ngspice_official_independent,2,2,21,2000,3,96.00697652297094,164.14000000000001,23696.0,20.831819440970246,1.7096674215204282,0.975650893636129
weak,dc,solver_only,ngspice_official_independent,4,4,21,4000,3,99.10356068913825,332.88,47392.0,40.361819214013366,3.3589105949901925,0.9451657618413463
weak,dc,solver_only,ngspice_official_independent,8,8,21,8000,3,107.04563691513613,712.12,94784.0,74.73447989610503,6.65248972795179,0.8750407315918797
weak,dc,solver_only,ngspice_official_independent,16,16,21,16000,3,114.70601130602881,1467.27,189568.0,139.48702267497518,12.791570235019426,0.8166031699074197
weak,dc,solver_only,ngspice_official_independent,32,32,21,32000,3,131.23989266809076,2936.3,379136.0,243.82830059857537,22.373532470237404,0.7137257623094193
weak,dc,solver_only,ngspice_official_independent,64,64,21,64000,3,244.04235898307525,6622.1,758272.0,262.2495548178114,27.135043389984826,0.3838239100386485
