method,size,rep,read_s,check_s,setup_s,analysis_s,jobs
hspice_alter,100,1,0.8343999999999969,0.9484999999999972,0.09630000000000141,6.603700000000003,100
hspice_alter,100,2,0.8414000000000029,0.9321999999999965,0.11620000000000144,6.562699999999994,100
hspice_alter,100,3,0.8375000000000019,0.8943000000000042,0.16619999999999882,6.565999999999995,100
hspice_alter,10,1,0.12629999999999997,0.11440000000000007,0.006200000000000004,1.2063,10
hspice_alter,10,2,0.1289000000000001,0.11440000000000006,0.006200000000000004,1.2028999999999999,10
hspice_alter,10,3,0.16440000000000002,0.1363000000000001,0.006200000000000004,1.1953,10
hspice_alter,1,1,0.004300000000000002,0.025199999999999997,0.0011999999999999997,0.1111,1
hspice_alter,1,2,0.004299999999999998,0.019299999999999998,0.0011999999999999997,0.1254,1
hspice_alter,1,3,0.007599999999999999,0.023500000000000004,0.0011999999999999997,0.11850000000000002,1
hspice_alter,1,4,0.005999999999999998,0.031100000000000003,0.0011999999999999997,0.1182,1
hspice_alter,1,5,0.0085,0.023299999999999998,0.0011999999999999997,0.1119,1
hspice_alter,200,1,1.9253999999999971,1.4631999999999974,0.15629999999999944,11.775400000000005,200
hspice_alter,200,2,3.5174000000000065,2.5431000000000017,0.1702000000000019,11.07879999999999,200
hspice_alter,200,3,2.918400000000005,1.5762,0.3261999999999996,11.369599999999997,200
hspice_alter,500,1,11.326300000000002,3.66809999999999,0.5354000000000025,30.700699999999976,500
hspice_alter,500,2,13.995299999999995,4.164300000000006,0.3863000000000014,28.215900000000005,500
hspice_alter,500,3,11.204399999999996,4.317200000000024,0.406299999999997,29.04409999999997,500
hspice_alter,50,1,0.33460000000000667,0.5844999999999979,0.07620000000000096,3.6793999999999945,50
hspice_alter,50,2,0.31909999999999605,0.5143999999999977,0.09719999999999987,3.585700000000007,50
hspice_alter,50,3,0.36549999999999655,0.5342999999999954,0.07710000000000027,3.550900000000006,50
hspice_independent,100,1,0.835199999999999,1.9287999999999996,0.18020000000000028,12.161599999999995,100
hspice_independent,100,2,0.737199999999999,2.0829000000000004,0.12980000000000028,12.110399999999997,100
hspice_independent,100,3,0.7126999999999991,2.0949000000000013,0.1452000000000002,12.128399999999997,100
hspice_independent,10,1,0.07740000000000001,0.19090000000000001,0.02530000000000001,1.2405,10
hspice_independent,10,2,0.050300000000000004,0.21550000000000002,0.0338,1.2047,10
hspice_independent,10,3,0.0686,0.1896,0.012399999999999994,1.2525,10
hspice_independent,1,1,0.004400000000000001,0.0276,0.0013999999999999985,0.1114,1
hspice_independent,1,2,0.0046,0.022400000000000003,0.0012999999999999956,0.12499999999999999,1
hspice_independent,1,3,0.004400000000000001,0.022199999999999998,0.0011999999999999997,0.1247,1
hspice_independent,1,4,0.004300000000000002,0.023200000000000002,0.0011999999999999997,0.0991,1
hspice_independent,1,5,0.0046,0.016900000000000002,0.0012999999999999956,0.099,1
hspice_independent,200,1,1.499099999999997,4.207200000000002,0.3185999999999999,24.1377,200
hspice_independent,200,2,1.4884999999999973,4.1377000000000015,0.35369999999999946,24.130200000000002,200
hspice_independent,200,3,1.6892999999999965,4.035500000000001,0.33199999999999996,24.130300000000005,200
hspice_independent,500,1,3.7880000000000136,10.348100000000002,0.7913999999999946,60.35990000000007,500
hspice_independent,500,2,3.930400000000016,10.206299999999995,0.7695999999999946,60.38780000000001,500
hspice_independent,500,3,3.846000000000015,10.396499999999989,0.8492999999999941,60.19810000000006,500
hspice_independent,50,1,0.3655,0.9615999999999998,0.0948000000000001,6.0943999999999985,50
hspice_independent,50,2,0.3982,0.9583999999999997,0.12990000000000007,6.0252000000000026,50
hspice_independent,50,3,0.4699000000000002,0.8669999999999997,0.11360000000000012,5.988699999999999,50
