size,ngspice_reuse_vs_independent,hspice_alter_vs_independent,ngspice_reuse_vs_hspice_independent,ngspice_reuse_vs_hspice_alter,ngspice_reuse_vs_best_hspice
1,0.7775872167390735,1.0121092743960136,2.5762412756968467,2.545418109358048,2.545418109358048
10,1.035331882084771,1.4459363389437214,3.5724782169874936,2.4707022852729765,2.4707022852729765
50,1.0523586682073127,2.3698824403111303,3.63867088814842,1.5353803320601491,1.5353803320601491
100,1.0506734460033076,2.549344509272957,3.60742721105998,1.4150410813204588,1.4150410813204588
200,1.044279257775786,2.5161878229315775,3.608648509373364,1.4341729486509378,1.4341729486509378
500,1.0444156311857105,2.1880626768865183,3.60861831383413,1.6492298652838304,1.6492298652838304
