size,repeats,alter_calls,alter_eval_time,alter_parse_time,alter_setparam_calls,alter_setparam_time,alter_time,batch_fallbacks,batch_rejected,batch_values,direct_param_bindings,direct_param_calls,direct_param_time,direct_param_writes,fast_alter_cache_hits,fast_alter_cache_misses,fast_alter_calls,fast_alter_time,load_calls,load_time,lufac_calls,lufac_time,preorder_calls,preorder_time,reorder_calls,reorder_time,setup_calls,setup_reuse,setup_time,solve_calls,solve_time,symbolic_reuse
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,560.0,14.0,0.00037987809628248215,560.0,0.0,0.0,0.0,0.0,82.0,0.05106738721951842,80.0,0.0005485854344442487,1.0,4.584598354995251e-05,2.0,5.467305891215801e-05,1.0,0.0,0.002323223976418376,82.0,0.00039845320861786604,0.0
10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,560.0,140.0,0.08066394226625562,5600.0,0.0,0.0,0.0,0.0,839.0,0.5204143944429234,828.0,0.005917581846006215,1.0,4.685809835791588e-05,11.0,0.00029747909866273403,10.0,9.0,0.0031256270594894886,839.0,0.004079197649843991,9.0
50,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,560.0,700.0,0.46083588420879096,28000.0,0.0,0.0,0.0,0.0,4203.0,2.618320840992965,4152.0,0.029015793348662555,1.0,4.967302083969116e-05,51.0,0.0012806461891159415,50.0,49.0,0.0025098619516938925,4203.0,0.020287332008592784,49.0
100,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,560.0,1400.0,0.9312644780147821,56000.0,0.0,0.0,0.0,0.0,8446.0,5.261221184162423,8345.0,0.05788548290729523,1.0,5.549495108425617e-05,101.0,0.002500907867215574,100.0,99.0,0.002477154601365328,8446.0,0.04075621464289725,99.0
200,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,560.0,2800.0,1.8845854151295498,112000.0,0.0,0.0,0.0,0.0,16892.0,10.528556297067553,16691.0,0.11517852602992207,1.0,4.691805224865675e-05,201.0,0.004986112471669912,200.0,199.0,0.004117851844057441,16892.0,0.08117697504349053,199.0
500,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,560.0,7000.0,4.754664734820835,280000.0,0.0,0.0,0.0,0.0,42296.0,26.3337928323308,41795.0,0.2910537455463782,1.0,4.775007255375385e-05,501.0,0.012424865970388055,500.0,499.0,0.002352511277422309,42296.0,0.20427375147119164,499.0
